GameWeek,HomeTeam,AwayTeam,HomeGoals,AwayGoals
34,Stoke,Tottenham,0,4
34,Newcastle,Man City,1,1
34,Liverpool,Everton,4,0
34,Man United,Crystal Palace,2,0
34,West Ham,Watford,3,1
34,Arsenal,West Brom,2,0
35,Aston Villa,Southampton,2,4
35,Bournemouth,Chelsea,1,4
35,Liverpool,Newcastle,2,2
35,Man City,Stoke,4,0
35,Leicester,Swansea,4,0
35,Sunderland,Arsenal,0,0
35,Tottenham,West Brom,1,1
36,Arsenal,Norwich,1,0
36,Everton,Bournemouth,2,1
36,Newcastle,Crystal Palace,1,0
36,Stoke,Sunderland,1,1
36,Watford,Aston Villa,3,2
36,West Brom,West Ham,0,3
36,Man United,Leicester,1,1
36,Southampton,Man City,4,2
36,Swansea,Liverpool,3,1
36,Chelsea,Tottenham,2,2
37,Aston Villa,Newcastle,0,0
37,Bournemouth,West Brom,1,1
37,Crystal Palace,Stoke,2,1
37,Leicester,Everton,3,1
37,Norwich,Man United,0,1
37,Sunderland,Chelsea,3,2
37,West Ham,Swansea,1,4
37,Liverpool,Watford,2,0
37,Man City,Arsenal,2,2
37,Tottenham,Southampton,1,2
37,West Ham,Man United,3,2
37,Liverpool,Chelsea,1,1
37,Norwich,Watford,4,2
37,Sunderland,Everton,3,0
38,Arsenal,Aston Villa,4,0
38,Chelsea,Leicester,1,1
38,Everton,Norwich,3,0
38,Newcastle,Tottenham,5,1
38,Southampton,Crystal Palace,4,1
38,Stoke,West Ham,2,1
38,Swansea,Man City,1,1
38,Watford,Sunderland,2,2
38,West Brom,Liverpool,1,1
38,Man United,Bournemouth,3,1
